86.5	79.0	83.0	75.0	80.0	83.0	70.0	90.0	85.0	60.0	91.0	89.0	88.0
80.5	69.0	80.0	60.0	70.0	79.0	73.0	94.0	85.0	70.0	84.0	86.0	71.0
80.5	72.0	86.0	71.0	70.0	70.0	65.0	85.0	73.0	75.0	80.0	78.0	86.0
77.0	68.0	78.0	71.0	78.0	76.0	70.0	80.0	75.0	94.0	73.0	82.0	82.0
82.0	77.0	79.0	72.0	72.0	71.0	65.0	86.0	73.0	79.0	77.0	78.0	78.0
89.0	77.0	80.0	71.0	80.0	72.0	68.0	92.0	76.0	94.0	78.0	95.0	93.0
82.5	68.0	75.0	75.0	80.0	77.0	66.0	77.0	86.0	80.0	86.0	90.0	92.0
76.0	84.0	89.0	83.0	88.0	75.0	71.0	88.0	86.0	76.0	80.0	90.0	89.0
79.0	75.0	72.0	80.0	90.0	86.0	85.0	82.0	90.0	80.0	90.0	90.0	76.0
81.0	65.0	74.0	65.0	73.0	87.0	66.0	81.0	81.0	95.0	82.0	92.0	90.0
84.0	80.0	81.0	68.0	91.0	89.0	80.0	91.0	87.0	77.0	76.0	87.0	68.0
72.0	70.0	74.0	68.0	65.0	80.0	65.0	91.0	68.0	80.0	80.0	93.0	63.0
77.0	76.0	83.0	62.0	66.0	78.0	65.0	84.0	85.0	78.0	89.0	81.0	90.0
83.0	74.0	70.0	75.0	80.0	82.0	72.0	86.0	84.0	90.0	91.0	92.0	89.0
91.0	83.0	78.0	78.0	82.0	82.0	81.0	90.0	80.0	90.0	90.0	89.0	87.0
87.5	77.0	70.0	72.0	76.0	87.0	65.0	86.0	80.0	92.0	93.0	86.0	72.0
90.0	79.0	72.0	80.0	80.0	70.0	71.0	89.0	79.0	94.0	79.0	95.0	91.0
91.0	79.0	78.0	83.0	80.0	73.0	76.0	94.0	85.0	95.0	87.0	95.0	95.0
86.0	78.0	85.0	65.0	88.0	85.0	72.0	83.0	79.0	82.0	91.0	82.0	73.0
72.0	72.0	87.0	75.0	65.0	72.0	60.0	81.0	75.0	70.51	60.0	80.0	68.0
73.5	72.0	83.0	70.0	72.0	74.0	65.0	83.0	83.0	71.0	68.0	90.0	90.0
82.5	77.0	82.0	60.0	70.0	77.0	67.0	83.0	81.0	69.0	79.0	78.0	72.0
79.5	82.0	85.0	76.0	75.0	80.0	60.0	79.0	79.0	65.0	65.0	86.0	71.0
89.0	72.0	82.0	66.0	80.0	80.0	85.0	84.0	80.0	80.0	94.0	80.0	82.0
79.0	76.0	85.0	85.0	74.0	83.0	70.0	87.0	75.0	80.0	70.0	79.0	84.0
74.0	73.0	80.0	71.0	80.0	81.0	66.0	88.0	80.0	71.5	76.0	80.0	78.0
80.5	68.0	75.0	76.0	72.0	89.0	80.0	87.0	85.0	70.0	84.0	79.0	74.0
82.5	76.0	82.0	79.0	80.0	75.0	71.0	86.0	85.0	70.5	85.0	80.0	85.0
77.5	73.0	75.0	67.0	73.0	78.0	61.0	84.0	80.0	81.0	80.0	70.0	79.0
89.0	68.0	71.0	73.0	72.0	86.0	73.0	95.0	84.0	78.0	79.0	93.0	75.0
72.0	70.0	78.0	65.0	77.0	74.0	60.0	84.0	75.0	89.0	76.0	93.0	84.0
73.5	74.0	77.0	67.0	60.0	84.0	65.0	90.0	68.0	79.0	76.0	92.0	76.0
91.0	81.0	87.0	78.0	78.0	74.0	75.0	92.0	80.0	84.0	93.0	91.0	89.0
72.0	68.0	80.0	80.0	80.0	78.0	60.0	67.0	85.0	91.0	86.0	77.0	72.0
86.5	79.0	90.0	80.0	88.0	72.0	70.0	88.0	79.0	70.0	80.0	86.0	61.0
77.5	75.0	78.0	64.0	80.0	83.0	69.0	84.0	82.0	80.0	77.0	79.0	90.0
